date,sr_close,sr_ret%,ice_close,ice_ret%,oni,phase
2016-02-29,5338,-0.91,14.56,10.81,2.28,Strong El Niño
2016-03-31,5575,4.44,15.35,5.43,1.71,Strong El Niño
2016-04-30,5503,-1.29,16.16,5.28,1.05,Moderate El Niño
2016-05-31,5573,1.27,17.49,8.23,0.49,Neutral
2016-06-30,6090,9.28,20.15,15.21,0.0,Neutral
2016-07-31,6105,0.25,19.05,-5.46,-0.31,Neutral
2016-08-31,6230,2.05,20.06,5.3,-0.5,Weak La Niña
2016-09-30,6716,7.8,22.53,12.31,-0.58,Weak La Niña
2016-10-31,6760,0.66,21.57,-4.26,-0.64,Weak La Niña
2016-11-30,7180,6.21,19.81,-8.16,-0.6,Weak La Niña
2016-12-31,6826,-4.93,19.51,-1.51,-0.45,Neutral
2017-01-31,6933,1.57,20.45,4.82,-0.19,Neutral
2017-02-28,6755,-2.57,19.31,-5.58,-0.02,Neutral
2017-03-31,6573,-2.69,16.76,-13.21,0.18,Neutral
2017-04-30,6600,0.41,16.04,-4.3,0.31,Neutral
2017-05-31,6552,-0.73,14.87,-7.29,0.4,Neutral
2017-06-30,6378,-2.66,13.68,-8.0,0.39,Neutral
2017-07-31,6030,-5.46,14.91,8.99,0.19,Neutral
2017-08-31,6396,6.07,14.4,-3.42,-0.07,Neutral
2017-09-30,6117,-4.36,13.54,-5.97,-0.34,Neutral
2017-10-31,6362,4.01,14.74,8.86,-0.6,Weak La Niña
2017-11-30,6386,0.38,15.08,2.31,-0.77,Weak La Niña
2017-12-31,5937,-7.03,15.16,0.53,-0.86,Weak La Niña
2018-01-31,5807,-2.19,13.23,-12.73,-0.77,Weak La Niña
2018-02-28,5772,-0.6,13.48,1.89,-0.71,Weak La Niña
2018-03-31,5551,-3.83,12.35,-8.38,-0.57,Weak La Niña
2018-04-30,5437,-2.05,11.52,-6.72,-0.39,Neutral
2018-05-31,5455,0.33,12.79,11.02,-0.13,Neutral
2018-06-30,5122,-6.1,11.86,-7.27,0.06,Neutral
2018-07-31,5120,-0.04,10.55,-11.05,0.14,Neutral
2018-08-31,5003,-2.29,10.6,0.47,0.27,Neutral
2018-09-30,5001,-0.04,10.42,-1.7,0.53,Weak El Niño
2018-10-31,5093,1.84,13.19,26.58,0.81,Weak El Niño
2018-11-30,4908,-3.63,12.84,-2.65,0.97,Weak El Niño
2018-12-31,4700,-4.24,12.03,-6.31,0.92,Weak El Niño
2019-01-31,5043,7.3,12.73,5.82,0.89,Weak El Niño
2019-02-28,5162,2.36,12.73,0.0,0.86,Weak El Niño
2019-03-31,5047,-2.23,12.53,-1.57,0.84,Weak El Niño
2019-04-30,5122,1.49,11.99,-4.31,0.77,Weak El Niño
2019-05-31,4943,-3.49,12.1,0.92,0.64,Weak El Niño
2019-06-30,5010,1.36,12.32,1.82,0.52,Weak El Niño
2019-07-31,5322,6.23,12.21,-0.89,0.33,Neutral
2019-08-31,5368,0.86,11.14,-8.76,0.19,Neutral
2019-09-30,5507,2.59,11.92,7.0,0.23,Neutral
2019-10-31,5718,3.83,12.48,4.7,0.39,Neutral
2019-11-30,5553,-2.89,12.94,3.69,0.58,Weak El Niño
2019-12-31,5581,0.5,13.42,3.71,0.66,Weak El Niño
2020-01-31,5622,0.73,14.61,8.87,0.64,Weak El Niño
2020-02-29,5664,0.75,14.46,-1.03,0.63,Weak El Niño
2020-03-31,5503,-2.84,10.42,-27.94,0.53,Weak El Niño
2020-04-30,5015,-8.87,10.39,-0.29,0.3,Neutral
2020-05-31,4937,-1.56,10.91,5.0,0.01,Neutral
2020-06-30,5011,1.5,11.84,8.52,-0.23,Neutral
2020-07-31,5036,0.5,12.64,6.76,-0.36,Neutral
2020-08-31,5189,3.04,12.66,0.16,-0.53,Weak La Niña
2020-09-30,5081,-2.08,13.07,3.24,-0.85,Weak La Niña
2020-10-31,5203,2.4,14.36,9.87,-1.12,Moderate La Niña
2020-11-30,5117,-1.65,14.51,1.04,-1.2,Moderate La Niña
2020-12-31,5215,1.92,15.49,6.75,-1.08,Moderate La Niña
2021-01-31,5215,0.0,15.83,2.19,-0.91,Weak La Niña
2021-02-28,5390,3.36,17.53,10.74,-0.79,Weak La Niña
2021-03-31,5269,-2.24,14.77,-15.74,-0.71,Weak La Niña
2021-04-30,5464,3.7,17.44,18.08,-0.55,Weak La Niña
2021-05-31,5548,1.54,17.36,-0.46,-0.39,Neutral
2021-06-30,5605,1.03,17.63,1.56,-0.3,Neutral
2021-07-31,5621,0.29,17.91,1.59,-0.35,Neutral
2021-08-31,5871,4.45,19.84,10.78,-0.45,Neutral
2021-09-30,5812,-1.0,19.83,-0.05,-0.63,Weak La Niña
2021-10-31,5978,2.86,19.27,-2.82,-0.76,Weak La Niña
2021-11-30,5889,-1.49,18.6,-3.48,-0.91,Weak La Niña
2021-12-31,5777,-1.9,18.88,1.5,-0.87,Weak La Niña
2022-01-31,5706,-1.23,18.22,-3.5,-0.82,Weak La Niña
2022-02-28,5696,-0.18,18.0,-1.21,-0.79,Weak La Niña
2022-03-31,5799,1.81,19.49,8.28,-0.86,Weak La Niña
2022-04-30,5876,1.33,19.35,-0.72,-0.95,Weak La Niña
2022-05-31,6088,3.61,19.4,0.26,-0.9,Weak La Niña
2022-06-30,5842,-4.04,18.83,-2.94,-0.78,Weak La Niña
2022-07-31,5805,-0.63,17.54,-6.85,-0.76,Weak La Niña
2022-08-31,5532,-4.7,17.89,2.0,-0.87,Weak La Niña
2022-09-30,5442,-1.63,18.42,2.96,-0.97,Weak La Niña
2022-10-31,5511,1.27,17.97,-2.44,-0.94,Weak La Niña
2022-11-30,5524,0.24,19.63,9.24,-0.85,Weak La Niña
2022-12-31,5783,4.69,20.04,2.09,-0.71,Weak La Niña
2023-01-31,5864,1.4,21.76,8.58,-0.54,Weak La Niña
2023-02-28,5949,1.45,22.08,1.47,-0.29,Neutral
2023-03-31,6448,8.39,22.25,0.77,-0.02,Neutral
2023-04-30,7035,9.1,26.99,21.3,0.27,Neutral
2023-05-31,6878,-2.23,25.06,-7.15,0.57,Weak El Niño
2023-06-30,6730,-2.15,22.89,-8.66,0.84,Weak El Niño
2023-07-31,6714,-0.24,24.11,5.33,1.12,Moderate El Niño
2023-08-31,6951,3.53,25.06,3.94,1.37,Moderate El Niño
2023-09-30,6947,-0.06,26.27,4.83,1.6,Strong El Niño
2023-10-31,6788,-2.29,27.09,3.12,1.83,Strong El Niño
2023-11-30,6738,-0.74,26.04,-3.88,1.99,Strong El Niño
2023-12-31,6307,-6.4,20.58,-20.97,2.06,Strong El Niño
2024-01-31,6461,2.44,24.13,17.25,1.92,Strong El Niño
2024-02-29,6289,-2.66,22.58,-6.42,1.62,Strong El Niño
2024-03-31,6510,3.51,22.52,-0.27,1.26,Moderate El Niño
2024-04-30,6168,-5.25,19.71,-12.48,0.82,Weak El Niño
2024-05-31,6120,-0.78,18.3,-7.15,0.49,Neutral
2024-06-30,6212,1.5,20.31,10.98,0.22,Neutral
2024-07-31,6196,-0.26,18.94,-6.74,0.08,Neutral
2024-08-31,5652,-8.78,19.38,2.32,-0.07,Neutral
2024-09-30,5915,4.65,22.67,16.98,-0.17,Neutral
2024-10-31,5870,-0.76,22.74,0.31,-0.21,Neutral
2024-11-30,6135,4.51,21.08,-7.3,-0.3,Neutral
2024-12-31,5961,-2.84,19.26,-8.63,-0.42,Neutral
2025-01-31,5817,-2.42,19.35,0.47,-0.45,Neutral
2025-02-28,5931,1.96,19.51,0.83,-0.24,Neutral
2025-03-31,6075,2.43,18.86,-3.33,-0.06,Neutral
2025-04-30,5887,-3.09,17.46,-7.42,0.02,Neutral
2025-05-31,5763,-2.11,17.05,-2.35,-0.02,Neutral
2025-06-30,5807,0.76,15.48,-9.21,-0.04,Neutral
2025-07-31,5793,-0.24,16.35,5.62,-0.14,Neutral
2025-08-31,5604,-3.26,16.37,0.12,-0.28,Neutral
2025-09-30,5493,-1.98,16.1,-1.65,-0.4,Neutral
2025-10-31,5483,-0.18,14.43,-10.37,-0.51,Weak La Niña
2025-11-30,5400,-1.51,15.21,5.4,-0.55,Weak La Niña
2025-12-31,5251,-2.76,15.01,-1.32,-0.54,Weak La Niña
2026-01-31,5248,-0.06,14.27,-4.93,-0.37,Neutral
2026-02-28,5324,1.45,14.3,0.21,-0.15,Neutral
2026-03-31,5431,2.01,15.52,8.53,0.11,Neutral
