date,c_close,c_ret%,cbot_close,cbot_ret%,oni,phase
2010-06-30,1858,-4.37,354.25,-1.32,-0.66,Weak La Niña
2010-07-31,1930,3.88,392.75,10.87,-1.05,Moderate La Niña
2010-08-31,2016,4.46,424.5,8.08,-1.35,Moderate La Niña
2010-09-30,2060,2.18,495.75,16.78,-1.56,Strong La Niña
2010-10-31,2190,6.31,582.0,17.4,-1.64,Strong La Niña
2010-11-30,2279,4.06,530.0,-8.94,-1.64,Strong La Niña
2010-12-31,2330,2.24,629.0,18.68,-1.54,Strong La Niña
2011-01-31,2361,1.33,659.5,4.85,-1.31,Moderate La Niña
2011-02-28,2429,2.88,722.5,9.55,-1.04,Moderate La Niña
2011-03-31,2377,-2.14,693.25,-4.05,-0.8,Weak La Niña
2011-04-30,2349,-1.18,754.0,8.76,-0.62,Weak La Niña
2011-05-31,2416,2.85,747.5,-0.86,-0.46,Neutral
2011-06-30,2307,-4.51,629.0,-15.85,-0.37,Neutral
2011-07-31,2384,3.34,665.5,5.8,-0.43,Neutral
2011-08-31,2396,0.5,757.5,13.82,-0.58,Weak La Niña
2011-09-30,2285,-4.63,592.5,-21.78,-0.79,Weak La Niña
2011-10-31,2242,-1.88,647.0,9.2,-0.96,Weak La Niña
2011-11-30,2178,-2.85,601.25,-7.07,-1.02,Moderate La Niña
2011-12-31,2273,4.36,646.5,7.53,-0.92,Weak La Niña
2012-01-31,2337,2.82,639.0,-1.16,-0.72,Weak La Niña
2012-02-29,2421,3.59,656.5,2.74,-0.57,Weak La Niña
2012-03-31,2432,0.45,644.0,-1.9,-0.46,Neutral
2012-04-30,2430,-0.08,660.25,2.52,-0.36,Neutral
2012-05-31,2368,-2.55,555.25,-15.9,-0.17,Neutral
2012-06-30,2336,-1.35,672.5,21.12,0.06,Neutral
2012-07-31,2398,2.65,806.5,19.93,0.3,Neutral
2012-08-31,2385,-0.54,802.75,-0.46,0.41,Neutral
2012-09-30,2341,-1.84,756.25,-5.79,0.41,Neutral
2012-10-31,2420,3.37,755.75,-0.07,0.31,Neutral
2012-11-30,2438,0.74,748.0,-1.02,0.13,Neutral
2012-12-31,2433,-0.21,698.25,-6.65,-0.1,Neutral
2013-01-31,2424,-0.37,740.5,6.05,-0.29,Neutral
2013-02-28,2441,0.7,719.5,-2.84,-0.29,Neutral
2013-03-31,2468,1.11,695.25,-3.37,-0.21,Neutral
2013-04-30,2391,-3.12,683.25,-1.73,-0.19,Neutral
2013-05-31,2447,2.34,662.0,-3.11,-0.27,Neutral
2013-06-30,2418,-1.19,679.25,2.61,-0.34,Neutral
2013-07-31,2338,-3.31,499.0,-26.54,-0.35,Neutral
2013-08-31,2320,-0.77,495.0,-0.8,-0.28,Neutral
2013-09-30,2318,-0.09,441.5,-10.81,-0.21,Neutral
2013-10-31,2323,0.22,428.25,-3.0,-0.13,Neutral
2013-11-30,2361,1.64,415.25,-3.04,-0.1,Neutral
2013-12-31,2345,-0.68,422.0,1.63,-0.15,Neutral
2014-01-31,2361,0.68,434.0,2.84,-0.28,Neutral
2014-02-28,2341,-0.85,457.5,5.42,-0.32,Neutral
2014-03-31,2354,0.56,502.0,9.73,-0.14,Neutral
2014-04-30,2372,0.76,514.0,2.39,0.15,Neutral
2014-05-31,2387,0.63,465.75,-9.39,0.31,Neutral
2014-06-30,2398,0.46,424.25,-8.91,0.23,Neutral
2014-07-31,2367,-1.29,357.0,-15.85,0.1,Neutral
2014-08-31,2374,0.3,359.0,0.56,0.11,Neutral
2014-09-30,2358,-0.67,320.75,-10.66,0.28,Neutral
2014-10-31,2380,0.93,376.75,17.46,0.54,Weak El Niño
2014-11-30,2412,1.34,375.75,-0.26,0.71,Weak El Niño
2014-12-31,2380,-1.33,397.0,5.66,0.77,Weak El Niño
2015-01-31,2474,3.95,370.0,-6.8,0.69,Weak El Niño
2015-02-28,2536,2.51,384.5,3.92,0.61,Weak El Niño
2015-03-31,2524,-0.47,376.25,-2.15,0.65,Weak El Niño
2015-04-30,2500,-0.95,362.5,-3.65,0.81,Weak El Niño
2015-05-31,2470,-1.2,351.5,-3.03,1.02,Moderate El Niño
2015-06-30,2317,-6.19,414.0,17.78,1.25,Moderate El Niño
2015-07-31,2015,-13.03,371.0,-10.39,1.57,Strong El Niño
2015-08-31,1938,-3.82,363.75,-1.95,1.91,Strong El Niño
2015-09-30,1799,-7.17,387.75,6.6,2.21,Strong El Niño
2015-10-31,1810,0.61,382.25,-1.42,2.47,Strong El Niño
2015-11-30,1893,4.59,365.0,-4.51,2.64,Strong El Niño
2015-12-31,1896,0.16,358.75,-1.71,2.75,Strong El Niño
2016-01-31,1933,1.95,372.0,3.69,2.63,Strong El Niño
2016-02-29,1551,-19.76,353.5,-4.97,2.28,Strong El Niño
2016-03-31,1430,-7.8,351.5,-0.57,1.71,Strong El Niño
