date,sr_close,sr_ret%,oni,oni_6m,bucket,fwd_6m,fwd_12m,fwd_18m
2008-04-30,3826,-7.41,-1.01,-1.43,E. ONI≤-1.0 (中强 La Niña),-14.38,8.76,20.75
2008-05-31,3897,1.86,-0.84,-1.32,E. ONI≤-1.0 (中强 La Niña),-19.99,6.98,30.38
2008-06-30,3782,-2.95,-0.61,-1.15,E. ONI≤-1.0 (中强 La Niña),-24.59,11.66,52.33
2008-07-31,3477,-8.06,-0.37,-0.94,D. -1.0<ONI≤-0.5 (弱 La Niña),-9.43,22.03,54.67
2008-08-31,3309,-4.83,-0.23,-0.72,D. -1.0<ONI≤-0.5 (弱 La Niña),12.69,43.64,64.19
2008-09-30,3128,-5.47,-0.24,-0.55,D. -1.0<ONI≤-0.5 (弱 La Niña),22.12,48.56,62.31
2008-10-31,3276,4.73,-0.35,-0.44,C. -0.5<ONI<0.5 (中性),27.01,41.03,50.73
2008-11-30,3118,-4.82,-0.55,-0.39,C. -0.5<ONI<0.5 (中性),33.71,62.96,49.94
2008-12-31,2852,-8.53,-0.73,-0.41,C. -0.5<ONI<0.5 (中性),48.07,102.0,69.18
2009-01-31,3149,10.41,-0.85,-0.49,C. -0.5<ONI<0.5 (中性),34.74,70.78,64.94
2009-02-28,3729,18.42,-0.79,-0.58,D. -1.0<ONI≤-0.5 (弱 La Niña),27.46,45.7,47.28
2009-03-31,3820,2.44,-0.61,-0.65,D. -1.0<ONI≤-0.5 (弱 La Niña),21.65,32.91,48.59
2009-04-30,4161,8.93,-0.33,-0.64,D. -1.0<ONI≤-0.5 (弱 La Niña),11.03,18.67,55.97
2009-05-31,4169,0.19,0.01,-0.55,D. -1.0<ONI≤-0.5 (弱 La Niña),21.88,12.14,55.55
2009-06-30,4223,1.3,0.28,-0.38,C. -0.5<ONI<0.5 (中性),36.42,14.26,67.35
2009-07-31,4243,0.47,0.45,-0.16,C. -0.5<ONI<0.5 (中性),26.75,22.41,75.44
2009-08-31,4753,12.02,0.58,0.06,C. -0.5<ONI<0.5 (中性),14.31,15.55,53.15
2009-09-30,4647,-2.23,0.71,0.28,C. -0.5<ONI<0.5 (中性),9.25,22.14,51.43
2009-10-31,4620,-0.58,1.01,0.51,B. 0.5≤ONI<1.0 (弱 El Niño),6.88,40.48,46.58
2009-11-30,5081,9.98,1.36,0.73,B. 0.5≤ONI<1.0 (弱 El Niño),-7.99,27.63,31.61
2009-12-31,5761,13.38,1.56,0.94,B. 0.5≤ONI<1.0 (弱 El Niño),-16.25,22.67,17.83
2010-01-31,5378,-6.65,1.5,1.12,A. ONI≥1.0 (中强 El Niño),-3.42,38.42,35.89
2010-02-28,5433,1.02,1.22,1.23,A. ONI≥1.0 (中强 El Niño),1.09,33.98,32.38
2010-03-31,5077,-6.55,0.84,1.25,A. ONI≥1.0 (中强 El Niño),11.8,38.61,32.93
2010-04-30,4938,-2.74,0.35,1.14,A. ONI≥1.0 (中强 El Niño),31.43,37.14,35.32
2010-05-31,4675,-5.33,-0.17,0.88,B. 0.5≤ONI<1.0 (弱 El Niño),38.72,43.04,35.02
2010-06-30,4825,3.21,-0.66,0.51,B. 0.5≤ONI<1.0 (弱 El Niño),46.47,40.68,22.9
2010-07-31,5194,7.65,-1.05,0.09,C. -0.5<ONI<0.5 (中性),43.32,40.7,25.78
2010-08-31,5492,5.74,-1.35,-0.34,C. -0.5<ONI<0.5 (中性),32.54,30.95,21.54
2010-09-30,5676,3.35,-1.56,-0.74,D. -1.0<ONI≤-0.5 (弱 La Niña),23.98,18.9,17.12
2010-10-31,6490,14.34,-1.64,-1.07,E. ONI≤-1.0 (中强 La Niña),4.35,2.96,-2.47
2010-11-30,6485,-0.08,-1.64,-1.32,E. ONI≤-1.0 (中强 La Niña),3.11,-2.67,-7.2
2010-12-31,7067,8.97,-1.54,-1.46,E. ONI≤-1.0 (中强 La Niña),-3.95,-16.09,-18.69
2011-01-31,7444,5.33,-1.31,-1.51,E. ONI≤-1.0 (中强 La Niña),-1.83,-12.24,-27.77
2011-02-28,7279,-2.22,-1.04,-1.46,E. ONI≤-1.0 (中强 La Niña),-1.2,-8.3,-25.87
2011-03-31,7037,-3.32,-0.8,-1.33,E. ONI≤-1.0 (中强 La Niña),-4.09,-5.53,-26.25
2011-04-30,6772,-3.77,-0.62,-1.16,E. ONI≤-1.0 (中强 La Niña),-1.33,-6.53,-23.04
2011-05-31,6687,-1.26,-0.46,-0.96,D. -1.0<ONI≤-0.5 (弱 La Niña),-5.61,-10.0,-20.16
2011-06-30,6788,1.51,-0.37,-0.77,D. -1.0<ONI≤-0.5 (弱 La Niña),-12.64,-15.35,-18.25
2011-07-31,7308,7.66,-0.43,-0.62,D. -1.0<ONI≤-0.5 (弱 La Niña),-10.6,-26.42,-25.63
2011-08-31,7192,-1.59,-0.58,-0.54,D. -1.0<ONI≤-0.5 (弱 La Niña),-7.19,-24.97,-24.65
2011-09-30,6749,-6.16,-0.79,-0.54,D. -1.0<ONI≤-0.5 (弱 La Niña),-1.5,-23.1,-20.52
2011-10-31,6682,-0.99,-0.96,-0.6,D. -1.0<ONI≤-0.5 (弱 La Niña),-5.27,-22.0,-21.77
2011-11-30,6312,-5.54,-1.02,-0.69,D. -1.0<ONI≤-0.5 (弱 La Niña),-4.66,-15.42,-19.57
2011-12-31,5930,-6.05,-0.92,-0.78,D. -1.0<ONI≤-0.5 (弱 La Niña),-3.1,-6.42,-16.46
2012-01-31,6533,10.17,-0.72,-0.83,D. -1.0<ONI≤-0.5 (弱 La Niña),-17.69,-16.81,-25.07
2012-02-29,6675,2.17,-0.57,-0.83,D. -1.0<ONI≤-0.5 (弱 La Niña),-19.16,-18.82,-25.15
2012-03-31,6648,-0.4,-0.46,-0.78,D. -1.0<ONI≤-0.5 (弱 La Niña),-21.93,-19.31,-23.45
2012-04-30,6330,-4.78,-0.36,-0.68,D. -1.0<ONI≤-0.5 (弱 La Niña),-17.66,-17.42,-17.95
2012-05-31,6018,-4.93,-0.17,-0.53,D. -1.0<ONI≤-0.5 (弱 La Niña),-11.28,-15.64,-16.72
2012-06-30,5746,-4.52,0.06,-0.37,C. -0.5<ONI<0.5 (中性),-3.43,-13.78,-16.67
2012-07-31,5377,-6.42,0.3,-0.2,C. -0.5<ONI<0.5 (中性),1.08,-8.96,-18.43
2012-08-31,5396,0.35,0.41,-0.04,C. -0.5<ONI<0.5 (中性),0.43,-7.41,-13.27
2012-09-30,5190,-3.82,0.41,0.11,C. -0.5<ONI<0.5 (中性),3.35,-1.95,-6.57
2012-10-31,5212,0.42,0.31,0.22,C. -0.5<ONI<0.5 (中性),0.29,-0.35,-6.85
2012-11-30,5339,2.44,0.13,0.27,C. -0.5<ONI<0.5 (中性),-4.91,-6.12,-9.31
2012-12-31,5549,3.93,-0.1,0.24,C. -0.5<ONI<0.5 (中性),-10.72,-13.71,-10.67
2013-01-31,5435,-2.05,-0.29,0.15,C. -0.5<ONI<0.5 (中性),-9.94,-19.3,-12.44
2013-02-28,5419,-0.29,-0.29,0.03,C. -0.5<ONI<0.5 (中性),-7.81,-13.64,-16.11
2013-03-31,5364,-1.01,-0.21,-0.08,C. -0.5<ONI<0.5 (中性),-5.13,-9.6,-13.55
2013-04-30,5227,-2.55,-0.19,-0.16,C. -0.5<ONI<0.5 (中性),-0.63,-7.12,-10.5
2013-05-31,5077,-2.87,-0.27,-0.22,C. -0.5<ONI<0.5 (中性),-1.28,-4.63,-9.2
2013-06-30,4954,-2.42,-0.34,-0.26,C. -0.5<ONI<0.5 (中性),-3.35,0.06,-6.76
2013-07-31,4895,-1.19,-0.35,-0.27,C. -0.5<ONI<0.5 (中性),-10.4,-2.78,0.25
2013-08-31,4996,2.06,-0.28,-0.27,C. -0.5<ONI<0.5 (中性),-6.33,-9.01,2.34
2013-09-30,5089,1.86,-0.21,-0.27,C. -0.5<ONI<0.5 (中性),-4.72,-8.88,5.38
2013-10-31,5194,2.06,-0.13,-0.26,C. -0.5<ONI<0.5 (中性),-6.53,-9.93,6.66
2013-11-30,5012,-3.5,-0.1,-0.24,C. -0.5<ONI<0.5 (中性),-3.39,-8.02,10.47
2013-12-31,4788,-4.47,-0.15,-0.2,C. -0.5<ONI<0.5 (中性),3.53,-3.53,18.27
2014-01-31,4386,-8.4,-0.28,-0.19,C. -0.5<ONI<0.5 (中性),8.5,11.88,21.27
2014-02-28,4680,6.7,-0.32,-0.2,C. -0.5<ONI<0.5 (中性),-2.86,9.25,12.03
2014-03-31,4849,3.61,-0.14,-0.19,C. -0.5<ONI<0.5 (中性),-4.37,10.6,16.09
2014-04-30,4855,0.12,0.15,-0.14,C. -0.5<ONI<0.5 (中性),-3.65,14.11,13.33
2014-05-31,4842,-0.27,0.31,-0.07,C. -0.5<ONI<0.5 (中性),-4.79,14.35,13.67
2014-06-30,4957,2.38,0.23,-0.01,C. -0.5<ONI<0.5 (中性),-6.82,14.24,14.28
2014-07-31,4759,-3.99,0.1,0.06,C. -0.5<ONI<0.5 (中性),3.11,11.77,13.2
2014-08-31,4546,-4.48,0.11,0.13,C. -0.5<ONI<0.5 (中性),12.47,15.33,17.42
2014-09-30,4637,2.0,0.28,0.2,C. -0.5<ONI<0.5 (中性),15.66,21.39,20.23
2014-10-31,4678,0.88,0.54,0.26,C. -0.5<ONI<0.5 (中性),18.43,17.61,17.64
2014-11-30,4610,-1.45,0.71,0.33,C. -0.5<ONI<0.5 (中性),20.11,19.39,20.89
2014-12-31,4619,0.2,0.77,0.42,C. -0.5<ONI<0.5 (中性),22.6,22.65,31.85
2015-01-31,4907,6.24,0.69,0.52,B. 0.5≤ONI<1.0 (弱 El Niño),8.4,9.78,24.41
2015-02-28,5113,4.2,0.61,0.6,B. 0.5≤ONI<1.0 (弱 El Niño),2.54,4.4,21.85
2015-03-31,5363,4.89,0.65,0.66,B. 0.5≤ONI<1.0 (弱 El Niño),4.96,3.95,25.23
2015-04-30,5540,3.3,0.81,0.71,B. 0.5≤ONI<1.0 (弱 El Niño),-0.69,-0.67,22.02
2015-05-31,5537,-0.05,1.02,0.76,B. 0.5≤ONI<1.0 (弱 El Niño),-0.6,0.65,29.67
2015-06-30,5663,2.28,1.25,0.84,B. 0.5≤ONI<1.0 (弱 El Niño),0.04,7.54,20.54
2015-07-31,5319,-6.07,1.57,0.98,B. 0.5≤ONI<1.0 (弱 El Niño),1.28,14.78,30.34
2015-08-31,5243,-1.43,1.91,1.2,A. ONI≥1.0 (中强 El Niño),1.81,18.83,28.84
2015-09-30,5629,7.36,2.21,1.46,A. ONI≥1.0 (中强 El Niño),-0.96,19.31,16.77
2015-10-31,5502,-2.26,2.47,1.74,A. ONI≥1.0 (中强 El Niño),0.02,22.86,19.96
2015-11-30,5504,0.04,2.64,2.01,A. ONI≥1.0 (中强 El Niño),1.25,30.45,19.04
2015-12-31,5665,2.93,2.75,2.26,A. ONI≥1.0 (中强 El Niño),7.5,20.49,12.59
2016-01-31,5387,-4.91,2.63,2.44,A. ONI≥1.0 (中强 El Niño),13.33,28.7,11.94
2016-02-29,5338,-0.91,2.28,2.5,A. ONI≥1.0 (中强 El Niño),16.71,26.55,19.82
2016-03-31,5575,4.44,1.71,2.41,A. ONI≥1.0 (中强 El Niño),20.47,17.9,9.72
2016-04-30,5503,-1.29,1.05,2.18,A. ONI≥1.0 (中强 El Niño),22.84,19.93,15.61
2016-05-31,5573,1.27,0.49,1.82,A. ONI≥1.0 (中强 El Niño),28.84,17.57,14.59
2016-06-30,6090,9.28,0.0,1.36,A. ONI≥1.0 (中强 El Niño),12.09,4.73,-2.51
2016-07-31,6105,0.25,-0.31,0.87,B. 0.5≤ONI<1.0 (弱 El Niño),13.56,-1.23,-4.88
2016-08-31,6230,2.05,-0.5,0.41,C. -0.5<ONI<0.5 (中性),8.43,2.66,-7.35
2016-09-30,6716,7.8,-0.58,0.03,C. -0.5<ONI<0.5 (中性),-2.13,-8.92,-17.35
2016-10-31,6760,0.66,-0.64,-0.26,C. -0.5<ONI<0.5 (中性),-2.37,-5.89,-19.57
2016-11-30,7180,6.21,-0.6,-0.44,C. -0.5<ONI<0.5 (中性),-8.75,-11.06,-24.03
2016-12-31,6826,-4.93,-0.45,-0.51,D. -1.0<ONI≤-0.5 (弱 La Niña),-6.56,-13.02,-24.96
2017-01-31,6933,1.57,-0.19,-0.49,C. -0.5<ONI<0.5 (中性),-13.02,-16.24,-26.15
2017-02-28,6755,-2.57,-0.02,-0.41,C. -0.5<ONI<0.5 (中性),-5.31,-14.55,-25.94
2017-03-31,6573,-2.69,0.18,-0.29,C. -0.5<ONI<0.5 (中性),-6.94,-15.55,-23.92
2017-04-30,6600,0.41,0.31,-0.13,C. -0.5<ONI<0.5 (中性),-3.61,-17.62,-22.83
2017-05-31,6552,-0.73,0.4,0.04,C. -0.5<ONI<0.5 (中性),-2.53,-16.74,-25.09
2017-06-30,6378,-2.66,0.39,0.18,C. -0.5<ONI<0.5 (中性),-6.91,-19.69,-26.31
2017-07-31,6030,-5.46,0.19,0.24,C. -0.5<ONI<0.5 (中性),-3.7,-15.09,-16.37
2017-08-31,6396,6.07,-0.07,0.23,C. -0.5<ONI<0.5 (中性),-9.76,-21.78,-19.29
2017-09-30,6117,-4.36,-0.34,0.15,C. -0.5<ONI<0.5 (中性),-9.25,-18.24,-17.49
2017-10-31,6362,4.01,-0.6,-0.0,C. -0.5<ONI<0.5 (中性),-14.54,-19.95,-19.49
2017-11-30,6386,0.38,-0.77,-0.2,C. -0.5<ONI<0.5 (中性),-14.58,-23.14,-22.6
2017-12-31,5937,-7.03,-0.86,-0.41,C. -0.5<ONI<0.5 (中性),-13.73,-20.84,-15.61
2018-01-31,5807,-2.19,-0.77,-0.57,D. -1.0<ONI≤-0.5 (弱 La Niña),-11.83,-13.16,-8.35
2018-02-28,5772,-0.6,-0.71,-0.68,D. -1.0<ONI≤-0.5 (弱 La Niña),-13.32,-10.57,-7.0
2018-03-31,5551,-3.83,-0.57,-0.71,D. -1.0<ONI≤-0.5 (弱 La Niña),-9.91,-9.08,-0.79
2018-04-30,5437,-2.05,-0.39,-0.68,D. -1.0<ONI≤-0.5 (弱 La Niña),-6.33,-5.79,5.17
2018-05-31,5455,0.33,-0.13,-0.57,D. -1.0<ONI≤-0.5 (弱 La Niña),-10.03,-9.39,1.8
2018-06-30,5122,-6.1,0.06,-0.42,C. -0.5<ONI<0.5 (中性),-8.24,-2.19,8.96
2018-07-31,5120,-0.04,0.14,-0.27,C. -0.5<ONI<0.5 (中性),-1.5,3.95,9.8
2018-08-31,5003,-2.29,0.27,-0.1,C. -0.5<ONI<0.5 (中性),3.18,7.3,13.21
2018-09-30,5001,-0.04,0.53,0.08,C. -0.5<ONI<0.5 (中性),0.92,10.12,10.04
2018-10-31,5093,1.84,0.81,0.28,C. -0.5<ONI<0.5 (中性),0.57,12.27,-1.53
2018-11-30,4908,-3.63,0.97,0.46,C. -0.5<ONI<0.5 (中性),0.71,13.14,0.59
2018-12-31,4700,-4.24,0.92,0.61,B. 0.5≤ONI<1.0 (弱 El Niño),6.6,18.74,6.62
2019-01-31,5043,7.3,0.89,0.73,B. 0.5≤ONI<1.0 (弱 El Niño),5.53,11.48,-0.14
2019-02-28,5162,2.36,0.86,0.83,B. 0.5≤ONI<1.0 (弱 El Niño),3.99,9.72,0.52
2019-03-31,5047,-2.23,0.84,0.88,B. 0.5≤ONI<1.0 (弱 El Niño),9.11,9.04,0.67
2019-04-30,5122,1.49,0.77,0.88,B. 0.5≤ONI<1.0 (弱 El Niño),11.64,-2.09,1.58
2019-05-31,4943,-3.49,0.64,0.82,B. 0.5≤ONI<1.0 (弱 El Niño),12.34,-0.12,3.52
2019-06-30,5010,1.36,0.52,0.75,B. 0.5≤ONI<1.0 (弱 El Niño),11.4,0.02,4.09
2019-07-31,5322,6.23,0.33,0.66,B. 0.5≤ONI<1.0 (弱 El Niño),5.64,-5.37,-2.01
2019-08-31,5368,0.86,0.19,0.55,B. 0.5≤ONI<1.0 (弱 El Niño),5.51,-3.33,0.41
2019-09-30,5507,2.59,0.23,0.45,C. -0.5<ONI<0.5 (中性),-0.07,-7.74,-4.32
2019-10-31,5718,3.83,0.39,0.38,C. -0.5<ONI<0.5 (中性),-12.29,-9.01,-4.44
2019-11-30,5553,-2.89,0.58,0.37,C. -0.5<ONI<0.5 (中性),-11.09,-7.85,-0.09
2019-12-31,5581,0.5,0.66,0.4,C. -0.5<ONI<0.5 (中性),-10.21,-6.56,0.43
2020-01-31,5622,0.73,0.64,0.45,C. -0.5<ONI<0.5 (中性),-10.42,-7.24,-0.02
2020-02-29,5664,0.75,0.63,0.52,B. 0.5≤ONI<1.0 (弱 El Niño),-8.39,-4.84,3.65
2020-03-31,5503,-2.84,0.53,0.57,B. 0.5≤ONI<1.0 (弱 El Niño),-7.67,-4.25,5.62
2020-04-30,5015,-8.87,0.3,0.56,B. 0.5≤ONI<1.0 (弱 El Niño),3.75,8.95,19.2
2020-05-31,4937,-1.56,0.01,0.46,C. -0.5<ONI<0.5 (中性),3.65,12.38,19.28
2020-06-30,5011,1.5,-0.23,0.31,C. -0.5<ONI<0.5 (中性),4.07,11.85,15.29
2020-07-31,5036,0.5,-0.36,0.15,C. -0.5<ONI<0.5 (中性),3.55,11.62,13.3
2020-08-31,5189,3.04,-0.53,-0.05,C. -0.5<ONI<0.5 (中性),3.87,13.14,9.77
2020-09-30,5081,-2.08,-0.85,-0.28,C. -0.5<ONI<0.5 (中性),3.7,14.39,14.13
2020-10-31,5203,2.4,-1.12,-0.51,D. -1.0<ONI≤-0.5 (弱 La Niña),5.02,14.9,12.93
2020-11-30,5117,-1.65,-1.2,-0.72,D. -1.0<ONI≤-0.5 (弱 La Niña),8.42,15.09,18.98
2020-12-31,5215,1.92,-1.08,-0.86,D. -1.0<ONI≤-0.5 (弱 La Niña),7.48,10.78,12.02
2021-01-31,5215,0.0,-0.91,-0.95,D. -1.0<ONI≤-0.5 (弱 La Niña),7.79,9.42,11.31
2021-02-28,5390,3.36,-0.79,-0.99,D. -1.0<ONI≤-0.5 (弱 La Niña),8.92,5.68,2.63
2021-03-31,5269,-2.24,-0.71,-0.97,D. -1.0<ONI≤-0.5 (弱 La Niña),10.31,10.06,3.28
2021-04-30,5464,3.7,-0.55,-0.87,D. -1.0<ONI≤-0.5 (弱 La Niña),9.41,7.54,0.86
2021-05-31,5548,1.54,-0.39,-0.74,D. -1.0<ONI≤-0.5 (弱 La Niña),6.15,9.73,-0.43
2021-06-30,5605,1.03,-0.3,-0.61,D. -1.0<ONI≤-0.5 (弱 La Niña),3.07,4.23,3.18
2021-07-31,5621,0.29,-0.35,-0.52,D. -1.0<ONI≤-0.5 (弱 La Niña),1.51,3.27,4.32
2021-08-31,5871,4.45,-0.45,-0.46,C. -0.5<ONI<0.5 (中性),-2.98,-5.77,1.33
2021-09-30,5812,-1.0,-0.63,-0.45,C. -0.5<ONI<0.5 (中性),-0.22,-6.37,10.94
2021-10-31,5978,2.86,-0.76,-0.48,C. -0.5<ONI<0.5 (中性),-1.71,-7.81,17.68
2021-11-30,5889,-1.49,-0.91,-0.57,D. -1.0<ONI≤-0.5 (弱 La Niña),3.38,-6.2,16.79
2021-12-31,5777,-1.9,-0.87,-0.66,D. -1.0<ONI≤-0.5 (弱 La Niña),1.13,0.1,16.5
2022-01-31,5706,-1.23,-0.82,-0.74,D. -1.0<ONI≤-0.5 (弱 La Niña),1.74,2.77,17.67
2022-02-28,5696,-0.18,-0.79,-0.8,D. -1.0<ONI≤-0.5 (弱 La Niña),-2.88,4.44,22.03
2022-03-31,5799,1.81,-0.86,-0.84,D. -1.0<ONI≤-0.5 (弱 La Niña),-6.16,11.19,19.8
