date,year,month,c_open,c_high,c_low,c_close,c_ret%,cbot_close,cbot_ret%,diff%
2008-02-29,2008,2,1750,,,1811,3.84,546.0,8.93,-5.09
2008-03-31,2008,3,1818,,,1948,7.56,567.25,3.89,3.67
2008-04-30,2008,4,1905,,,1968,1.03,600.25,5.82,-4.79
2008-05-31,2008,5,1961,,,1876,-4.67,599.25,-0.17,-4.51
2008-06-30,2008,6,1885,,,1941,3.46,724.75,20.94,-17.48
2008-07-31,2008,7,1930,,,1832,-5.62,587.5,-18.94,13.32
2008-08-31,2008,8,1827,,,1850,0.98,568.25,-3.28,4.26
2008-09-30,2008,9,1850,,,1768,-4.43,487.5,-14.21,9.78
2008-10-31,2008,10,1675,,,1655,-6.39,401.5,-17.64,11.25
2008-11-30,2008,11,1653,,,1557,-5.92,349.5,-12.95,7.03
2008-12-31,2008,12,1550,,,1548,-0.58,407.0,16.45,-17.03
2009-01-31,2009,1,1551,,,1579,2.0,379.0,-6.88,8.88
2009-02-28,2009,2,1582,,,1666,5.51,350.75,-7.45,12.96
2009-03-31,2009,3,1664,,,1695,1.74,404.75,15.4,-13.66
2009-04-30,2009,4,1699,,,1670,-1.47,396.25,-2.1,0.63
2009-05-31,2009,5,1675,,,1662,-0.48,436.25,10.1,-10.57
2009-06-30,2009,6,1660,,,1627,-2.11,347.75,-20.29,18.18
2009-07-31,2009,7,1620,,,1666,2.4,339.5,-2.37,4.77
2009-08-31,2009,8,1678,,,1751,5.1,326.25,-3.9,9.01
2009-09-30,2009,9,1750,,,1722,-1.66,344.0,5.44,-7.1
2009-10-31,2009,10,1730,,,1736,0.81,366.0,6.4,-5.58
2009-11-30,2009,11,1730,,,1784,2.76,402.75,10.04,-7.28
2009-12-31,2009,12,1785,,,1873,4.99,414.5,2.92,2.07
2010-01-31,2010,1,1878,,,1854,-1.01,356.5,-13.99,12.98
2010-02-28,2010,2,1851,,,1866,0.65,378.0,6.03,-5.38
2010-03-31,2010,3,1871,,,1928,3.32,345.0,-8.73,12.05
2010-04-30,2010,4,1925,,,1921,-0.36,366.25,6.16,-6.52
2010-05-31,2010,5,1919,,,1943,1.15,359.0,-1.98,3.13
2010-06-30,2010,6,1944,,,1858,-4.37,354.25,-1.32,-3.05
2010-07-31,2010,7,1868,,,1930,3.88,392.75,10.87,-6.99
2010-08-31,2010,8,1939,,,2016,4.46,424.5,8.08,-3.63
2010-09-30,2010,9,2020,,,2060,2.18,495.75,16.78,-14.6
2010-10-31,2010,10,2060,,,2190,6.31,582.0,17.4,-11.09
2010-11-30,2010,11,2205,,,2279,4.06,530.0,-8.94,13.0
2010-12-31,2010,12,2267,,,2330,2.24,629.0,18.68,-16.44
2011-01-31,2011,1,2331,,,2361,1.33,659.5,4.85,-3.52
2011-02-28,2011,2,2364,,,2429,2.88,722.5,9.55,-6.67
2011-03-31,2011,3,2439,,,2377,-2.14,693.25,-4.05,1.91
2011-04-30,2011,4,2408,,,2349,-1.18,754.0,8.76,-9.94
2011-05-31,2011,5,2356,,,2416,2.85,747.5,-0.86,3.71
2011-06-30,2011,6,2418,,,2307,-4.51,629.0,-15.85,11.34
2011-07-31,2011,7,2269,,,2384,3.34,665.5,5.8,-2.47
2011-08-31,2011,8,2389,,,2396,0.5,757.5,13.82,-13.32
2011-09-30,2011,9,2398,,,2285,-4.63,592.5,-21.78,17.15
2011-10-31,2011,10,2275,,,2242,-1.88,647.0,9.2,-11.08
2011-11-30,2011,11,2243,,,2178,-2.85,601.25,-7.07,4.22
2011-12-31,2011,12,2190,,,2273,4.36,646.5,7.53,-3.16
2012-01-31,2012,1,2282,,,2337,2.82,639.0,-1.16,3.98
2012-02-29,2012,2,2340,,,2421,3.59,656.5,2.74,0.86
2012-03-31,2012,3,2414,,,2432,0.45,644.0,-1.9,2.36
2012-04-30,2012,4,2450,,,2430,-0.08,660.25,2.52,-2.61
2012-05-31,2012,5,2435,,,2368,-2.55,555.25,-15.9,13.35
2012-06-30,2012,6,2365,,,2336,-1.35,672.5,21.12,-22.47
2012-07-31,2012,7,2348,,,2398,2.65,806.5,19.93,-17.27
2012-08-31,2012,8,2395,,,2385,-0.54,802.75,-0.46,-0.08
2012-09-30,2012,9,2390,,,2341,-1.84,756.25,-5.79,3.95
2012-10-31,2012,10,2340,,,2420,3.37,755.75,-0.07,3.44
