date,close,open,high,low,ret,year,month
2020-07-31,2323,2090,,,11.148325358851686,2020,7
2020-08-31,2262,2317,,,-2.625914765389581,2020,8
2020-09-30,2468,2265,,,9.106984969053933,2020,9
2020-10-31,2621,2499,,,6.199351701782829,2020,10
2020-11-30,2601,2624,,,-0.7630675314765356,2020,11
2020-12-31,2742,2681,,,5.420991926182239,2020,12
2021-01-31,2714,2755,,,-1.0211524434719177,2021,1
2021-02-28,2777,2714,,,2.321296978629328,2021,2
2021-03-31,2631,2783,,,-5.257472092185811,2021,3
2021-04-30,2733,2633,,,3.876852907639683,2021,4
2021-05-31,2666,2759,,,-2.451518477863157,2021,5
2021-06-30,2613,2663,,,-1.987996999249808,2021,6
2021-07-31,2573,2613,,,-1.5308075009567546,2021,7
2021-08-31,2487,2572,,,-3.342401865526623,2021,8
2021-09-30,2520,2486,,,1.3268998793727338,2021,9
2021-10-31,2627,2510,,,4.246031746031753,2021,10
2021-11-30,2645,2627,,,0.685192234488019,2021,11
2021-12-31,2672,2645,,,1.0207939508506625,2021,12
2022-01-31,2763,2675,,,3.405688622754499,2022,1
2022-02-28,2856,2785,,,3.365906623235615,2022,2
2022-03-31,2840,2863,,,-0.5602240896358524,2022,3
2022-04-30,3044,2923,,,7.183098591549286,2022,4
2022-05-31,2935,3035,,,-3.580814717476999,2022,5
2022-06-30,2780,2931,,,-5.281090289608182,2022,6
2022-07-31,2670,2770,,,-3.9568345323740983,2022,7
2022-08-31,2797,2681,,,4.756554307116101,2022,8
2022-09-30,2773,2785,,,-0.8580622095101909,2022,9
2022-10-31,2885,2777,,,4.0389469888207685,2022,10
2022-11-30,2908,2885,,,0.7972270363951539,2022,11
2022-12-31,2824,2911,,,-2.8885832187070193,2022,12
2023-01-31,2842,2829,,,0.6373937677053743,2023,1
2023-02-28,2837,2842,,,-0.17593244194229474,2023,2
2023-03-31,2724,2837,,,-3.983080719069443,2023,3
2023-04-30,2644,2718,,,-2.936857562408224,2023,4
2023-05-31,2633,2641,,,-0.4160363086233021,2023,5
2023-06-30,2728,2625,,,3.6080516521078687,2023,6
2023-07-31,2715,2735,,,-0.4765395894428148,2023,7
2023-08-31,2733,2716,,,0.6629834254143541,2023,8
2023-09-30,2628,2739,,,-3.841931942919863,2023,9
2023-10-31,2539,2600,,,-3.386605783866059,2023,10
2023-11-30,2501,2539,,,-1.496652225285544,2023,11
2023-12-31,2413,2501,,,-3.5185925629748094,2023,12
2024-01-31,2390,2420,,,-0.9531703273932823,2024,1
2024-02-29,2462,2389,,,3.0125523012552335,2024,2
2024-03-31,2415,2462,,,-1.9090170593013767,2024,3
2024-04-30,2388,2410,,,-1.1180124223602483,2024,4
2024-05-31,2434,2395,,,1.9262981574539317,2024,5
2024-06-30,2509,2436,,,3.0813475760065767,2024,6
2024-07-31,2351,2506,,,-6.297329613391788,2024,7
2024-08-31,2338,2347,,,-0.5529561888558021,2024,8
2024-09-30,2225,2341,,,-4.833190761334471,2024,9
2024-10-31,2248,2220,,,1.0337078651685427,2024,10
2024-11-30,2163,2250,,,-3.7811387900355875,2024,11
2024-12-31,2229,2160,,,3.051317614424409,2024,12
2025-01-31,2283,2231,,,2.4226110363391617,2025,1
2025-02-28,2292,2295,,,0.3942181340341744,2025,2
2025-03-31,2251,2292,,,-1.7888307155322858,2025,3
2025-04-30,2377,2251,,,5.597512216792544,2025,4
2025-05-31,2336,2382,,,-1.7248632730332392,2025,5
2025-06-30,2378,2340,,,1.7979452054794454,2025,6
2025-07-31,2288,2379,,,-3.7846930193439876,2025,7
2025-08-31,2191,2287,,,-4.23951048951049,2025,8
2025-09-30,2143,2192,,,-2.1907804655408536,2025,9
2025-10-31,2130,2120,,,-0.6066262249183385,2025,10
2025-11-30,2244,2130,,,5.352112676056331,2025,11
2025-12-31,2226,2244,,,-0.8021390374331583,2025,12
2026-01-31,2271,2220,,,2.021563342318067,2026,1
2026-02-28,2360,2267,,,3.9189784236019376,2026,2
2026-03-31,2351,2358,,,-0.3813559322033866,2026,3
2026-04-30,2427,2350,,,3.2326669502339422,2026,4
2026-05-31,2353,2426,,,-3.049031726411211,2026,5
