date,close,open,high,low,ret,year,month
2009-03-31,3820,3720,,,2.440332528828093,2009,3
2009-04-30,4161,3845,,,8.926701570680628,2009,4
2009-05-31,4169,4200,,,0.19226147560682527,2009,5
2009-06-30,4223,4188,,,1.295274646198119,2009,6
2009-07-31,4243,4221,,,0.47359696897939507,2009,7
2009-08-31,4753,4241,,,12.01979731322178,2009,8
2009-09-30,4647,4785,,,-2.230170418682942,2009,9
2009-10-31,4620,4582,,,-0.5810200129115595,2009,10
2009-11-30,5081,4620,,,9.978354978354975,2009,11
2009-12-31,5761,5070,,,13.38319228498328,2009,12
2010-01-31,5378,5803,,,-6.648151362610655,2010,1
2010-02-28,5433,5420,,,1.0226850130159892,2010,2
2010-03-31,5077,5486,,,-6.552549236149452,2010,3
2010-04-30,4938,5001,,,-2.737837305495372,2010,4
2010-05-31,4675,4910,,,-5.326042932361275,2010,5
2010-06-30,4825,4679,,,3.208556149732611,2010,6
2010-07-31,5194,4843,,,7.647668393782392,2010,7
2010-08-31,5492,5203,,,5.737389295340778,2010,8
2010-09-30,5676,5496,,,3.350327749453741,2010,9
2010-10-31,6490,5660,,,14.341085271317834,2010,10
2010-11-30,6485,6587,,,-0.07704160246533309,2010,11
2010-12-31,7067,6425,,,8.9745566692367,2010,12
2011-01-31,7444,7180,,,5.334654025753505,2011,1
2011-02-28,7279,7470,,,-2.2165502418054817,2011,2
2011-03-31,7037,7310,,,-3.324632504464897,2011,3
2011-04-30,6772,7050,,,-3.7658092937331245,2011,4
2011-05-31,6687,6751,,,-1.2551683402244551,2011,5
2011-06-30,6788,6690,,,1.5103933004336767,2011,6
2011-07-31,7308,6739,,,7.660577489687692,2011,7
2011-08-31,7192,7361,,,-1.5873015873015928,2011,8
2011-09-30,6749,7181,,,-6.159621802002224,2011,9
2011-10-31,6682,6724,,,-0.992739665135578,2011,10
2011-11-30,6312,6675,,,-5.537264292128108,2011,11
2011-12-31,5930,6421,,,-6.051964512040553,2011,12
2012-01-31,6533,6020,,,10.168634064080951,2012,1
2012-02-29,6675,6521,,,2.1735802847083985,2012,2
2012-03-31,6648,6651,,,-0.4044943820224689,2012,3
2012-04-30,6330,6632,,,-4.7833935018050555,2012,4
2012-05-31,6018,6336,,,-4.928909952606631,2012,5
2012-06-30,5746,6010,,,-4.519774011299438,2012,6
2012-07-31,5377,5792,,,-6.421858684302128,2012,7
2012-08-31,5396,5355,,,0.35335689045936647,2012,8
2012-09-30,5190,5393,,,-3.8176426982950318,2012,9
2012-10-31,5212,5253,,,0.42389210019266876,2012,10
2012-11-30,5339,5216,,,2.4366845740598553,2012,11
2012-12-31,5549,5325,,,3.9333208466004965,2012,12
2013-01-31,5435,5542,,,-2.0544242205802865,2013,1
2013-02-28,5419,5441,,,-0.29438822447102053,2013,2
2013-03-31,5364,5435,,,-1.0149474072707165,2013,3
2013-04-30,5227,5360,,,-2.554064131245337,2013,4
2013-05-31,5077,5188,,,-2.8697149416491263,2013,5
