date,close_ice,ret_ice,year,month
2012-11-30,19.34,-0.617,2012,11
2012-12-31,19.51,0.879,2012,12
2013-01-31,18.78,-3.742,2013,1
2013-02-28,18.38,-2.13,2013,2
2013-03-31,17.66,-3.917,2013,3
2013-04-30,17.67,0.057,2013,4
2013-05-31,16.55,-6.338,2013,5
2013-06-30,16.38,-1.027,2013,6
2013-07-31,16.97,3.602,2013,7
2013-08-31,16.34,-3.712,2013,8
2013-09-30,17.48,6.977,2013,9
2013-10-31,18.32,4.805,2013,10
2013-11-30,17.15,-6.386,2013,11
2013-12-31,16.41,-4.315,2013,12
2014-01-31,15.55,-5.241,2014,1
2014-02-28,16.47,5.916,2014,2
2014-03-31,17.77,7.893,2014,3
2014-04-30,17.24,-2.983,2014,4
2014-05-31,17.38,0.812,2014,5
2014-06-30,16.62,-4.373,2014,6
2014-07-31,16.46,-0.963,2014,7
2014-08-31,15.49,-5.893,2014,8
2014-09-30,15.48,-0.065,2014,9
2014-10-31,16.04,3.618,2014,10
2014-11-30,15.59,-2.805,2014,11
2014-12-31,14.52,-6.863,2014,12
2015-01-31,14.79,1.86,2015,1
2015-02-28,13.93,-5.815,2015,2
2015-03-31,11.93,-14.358,2015,3
2015-04-30,12.98,8.801,2015,4
2015-05-31,11.98,-7.704,2015,5
2015-06-30,12.28,2.504,2015,6
2015-07-31,11.14,-9.283,2015,7
2015-08-31,10.69,-4.04,2015,8
2015-09-30,12.17,13.845,2015,9
2015-10-31,14.52,19.31,2015,10
2015-11-30,14.93,2.824,2015,11
2015-12-31,15.24,2.076,2015,12
2016-01-31,13.14,-13.78,2016,1
2016-02-29,14.56,10.807,2016,2
2016-03-31,15.35,5.426,2016,3
2016-04-30,16.16,5.277,2016,4
2016-05-31,17.49,8.23,2016,5
2016-06-30,20.15,15.209,2016,6
2016-07-31,19.05,-5.459,2016,7
2016-08-31,20.06,5.302,2016,8
2016-09-30,22.53,12.313,2016,9
2016-10-31,21.57,-4.261,2016,10
2016-11-30,19.81,-8.159,2016,11
2016-12-31,19.51,-1.514,2016,12
2017-01-31,20.45,4.818,2017,1
2017-02-28,19.31,-5.575,2017,2
2017-03-31,16.76,-13.206,2017,3
2017-04-30,16.04,-4.296,2017,4
2017-05-31,14.87,-7.294,2017,5
2017-06-30,13.68,-8.003,2017,6
2017-07-31,14.91,8.991,2017,7
2017-08-31,14.4,-3.421,2017,8
2017-09-30,13.54,-5.972,2017,9
2017-10-31,14.74,8.863,2017,10
2017-11-30,15.08,2.307,2017,11
2017-12-31,15.16,0.531,2017,12
2018-01-31,13.23,-12.731,2018,1
2018-02-28,13.48,1.89,2018,2
2018-03-31,12.35,-8.383,2018,3
2018-04-30,11.52,-6.721,2018,4
2018-05-31,12.79,11.024,2018,5
2018-06-30,11.86,-7.271,2018,6
2018-07-31,10.55,-11.046,2018,7
2018-08-31,10.6,0.474,2018,8
2018-09-30,10.42,-1.698,2018,9
2018-10-31,13.19,26.583,2018,10
2018-11-30,12.84,-2.654,2018,11
2018-12-31,12.03,-6.308,2018,12
2019-01-31,12.73,5.819,2019,1
2019-02-28,12.73,0.0,2019,2
2019-03-31,12.53,-1.571,2019,3
2019-04-30,11.99,-4.31,2019,4
2019-05-31,12.1,0.917,2019,5
2019-06-30,12.32,1.818,2019,6
2019-07-31,12.21,-0.893,2019,7
2019-08-31,11.14,-8.763,2019,8
2019-09-30,11.92,7.002,2019,9
2019-10-31,12.48,4.698,2019,10
2019-11-30,12.94,3.686,2019,11
2019-12-31,13.42,3.709,2019,12
2020-01-31,14.61,8.867,2020,1
2020-02-29,14.46,-1.027,2020,2
2020-03-31,10.42,-27.939,2020,3
2020-04-30,10.39,-0.288,2020,4
2020-05-31,10.91,5.005,2020,5
2020-06-30,11.84,8.524,2020,6
2020-07-31,12.64,6.757,2020,7
2020-08-31,12.66,0.158,2020,8
2020-09-30,13.07,3.239,2020,9
2020-10-31,14.36,9.87,2020,10
2020-11-30,14.51,1.045,2020,11
2020-12-31,15.49,6.754,2020,12
2021-01-31,15.83,2.195,2021,1
2021-02-28,17.53,10.739,2021,2
2021-03-31,14.77,-15.744,2021,3
2021-04-30,17.44,18.077,2021,4
2021-05-31,17.36,-0.459,2021,5
2021-06-30,17.63,1.555,2021,6
2021-07-31,17.91,1.588,2021,7
2021-08-31,19.84,10.776,2021,8
2021-09-30,19.83,-0.05,2021,9
2021-10-31,19.27,-2.824,2021,10
2021-11-30,18.6,-3.477,2021,11
2021-12-31,18.88,1.505,2021,12
2022-01-31,18.22,-3.496,2022,1
2022-02-28,18.0,-1.207,2022,2
2022-03-31,19.49,8.278,2022,3
2022-04-30,19.35,-0.718,2022,4
2022-05-31,19.4,0.258,2022,5
2022-06-30,18.83,-2.938,2022,6
2022-07-31,17.54,-6.851,2022,7
