date,c_close,c_ret%,oni,oni_6m,bucket,fwd_6m,fwd_12m,fwd_18m
2009-08-31,1751,5.1,0.58,0.06,C. -0.5<ONI<0.5 (中性),6.57,15.13,38.72
2009-09-30,1722,-1.66,0.71,0.28,C. -0.5<ONI<0.5 (中性),11.96,19.63,38.04
2009-10-31,1736,0.81,1.01,0.51,B. 0.5≤ONI<1.0 (弱 El Niño),10.66,26.15,35.31
2009-11-30,1784,2.76,1.36,0.73,B. 0.5≤ONI<1.0 (弱 El Niño),8.91,27.75,35.43
2009-12-31,1873,4.99,1.56,0.94,B. 0.5≤ONI<1.0 (弱 El Niño),-0.8,24.4,23.17
2010-01-31,1854,-1.01,1.5,1.12,A. ONI≥1.0 (中强 El Niño),4.1,27.35,28.59
2010-02-28,1866,0.65,1.22,1.23,A. ONI≥1.0 (中强 El Niño),8.04,30.17,28.4
2010-03-31,1928,3.32,0.84,1.25,A. ONI≥1.0 (中强 El Niño),6.85,23.29,18.52
2010-04-30,1921,-0.36,0.35,1.14,A. ONI≥1.0 (中强 El Niño),14.0,22.28,16.71
2010-05-31,1943,1.15,-0.17,0.88,B. 0.5≤ONI<1.0 (弱 El Niño),17.29,24.34,12.09
2010-06-30,1858,-4.37,-0.66,0.51,B. 0.5≤ONI<1.0 (弱 El Niño),25.4,24.17,22.34
2010-07-31,1930,3.88,-1.05,0.09,C. -0.5<ONI<0.5 (中性),22.33,23.52,21.09
2010-08-31,2016,4.46,-1.35,-0.34,C. -0.5<ONI<0.5 (中性),20.49,18.85,20.09
2010-09-30,2060,2.18,-1.56,-0.74,D. -1.0<ONI≤-0.5 (弱 La Niña),15.39,10.92,18.06
2010-10-31,2190,6.31,-1.64,-1.07,E. ONI≤-1.0 (中强 La Niña),7.26,2.37,10.96
2010-11-30,2279,4.06,-1.64,-1.32,E. ONI≤-1.0 (中强 La Niña),6.01,-4.43,3.91
2010-12-31,2330,2.24,-1.54,-1.46,E. ONI≤-1.0 (中强 La Niña),-0.99,-2.45,0.26
2011-01-31,2361,1.33,-1.31,-1.51,E. ONI≤-1.0 (中强 La Niña),0.97,-1.02,1.57
2011-02-28,2429,2.88,-1.04,-1.46,E. ONI≤-1.0 (中强 La Niña),-1.36,-0.33,-1.81
2011-03-31,2377,-2.14,-0.8,-1.33,E. ONI≤-1.0 (中强 La Niña),-3.87,2.31,-1.51
2011-04-30,2349,-1.18,-0.62,-1.16,E. ONI≤-1.0 (中强 La Niña),-4.56,3.45,3.02
2011-05-31,2416,2.85,-0.46,-0.96,D. -1.0<ONI≤-0.5 (弱 La Niña),-9.85,-1.99,0.91
2011-06-30,2307,-4.51,-0.37,-0.77,D. -1.0<ONI≤-0.5 (弱 La Niña),-1.47,1.26,5.46
2011-07-31,2384,3.34,-0.43,-0.62,D. -1.0<ONI≤-0.5 (弱 La Niña),-1.97,0.59,1.68
2011-08-31,2396,0.5,-0.58,-0.54,D. -1.0<ONI≤-0.5 (弱 La Niña),1.04,-0.46,1.88
2011-09-30,2285,-4.63,-0.79,-0.54,D. -1.0<ONI≤-0.5 (弱 La Niña),6.43,2.45,8.01
2011-10-31,2242,-1.88,-0.96,-0.6,D. -1.0<ONI≤-0.5 (弱 La Niña),8.39,7.94,6.65
2011-11-30,2178,-2.85,-1.02,-0.69,D. -1.0<ONI≤-0.5 (弱 La Niña),8.72,11.94,12.35
2011-12-31,2273,4.36,-0.92,-0.78,D. -1.0<ONI≤-0.5 (弱 La Niña),2.77,7.04,6.38
2012-01-31,2337,2.82,-0.72,-0.83,D. -1.0<ONI≤-0.5 (弱 La Niña),2.61,3.72,0.04
2012-02-29,2421,3.59,-0.57,-0.83,D. -1.0<ONI≤-0.5 (弱 La Niña),-1.49,0.83,-4.17
2012-03-31,2432,0.45,-0.46,-0.78,D. -1.0<ONI≤-0.5 (弱 La Niña),-3.74,1.48,-4.69
2012-04-30,2430,-0.08,-0.36,-0.68,D. -1.0<ONI≤-0.5 (弱 La Niña),-0.41,-1.6,-4.4
2012-05-31,2368,-2.55,-0.17,-0.53,D. -1.0<ONI≤-0.5 (弱 La Niña),2.96,3.34,-0.3
2012-06-30,2336,-1.35,0.06,-0.37,C. -0.5<ONI<0.5 (中性),4.15,3.51,0.39
2012-07-31,2398,2.65,0.3,-0.2,C. -0.5<ONI<0.5 (中性),1.08,-2.5,-1.54
2012-08-31,2385,-0.54,0.41,-0.04,C. -0.5<ONI<0.5 (中性),2.35,-2.73,-1.84
2012-09-30,2341,-1.84,0.41,0.11,C. -0.5<ONI<0.5 (中性),5.43,-0.98,0.56
2012-10-31,2420,3.37,0.31,0.22,C. -0.5<ONI<0.5 (中性),-1.2,-4.01,-1.98
2012-11-30,2438,0.74,0.13,0.27,C. -0.5<ONI<0.5 (中性),0.37,-3.16,-2.09
2012-12-31,2433,-0.21,-0.1,0.24,C. -0.5<ONI<0.5 (中性),-0.62,-3.62,-1.44
2013-01-31,2424,-0.37,-0.29,0.15,C. -0.5<ONI<0.5 (中性),-3.55,-2.6,-2.35
2013-02-28,2441,0.7,-0.29,0.03,C. -0.5<ONI<0.5 (中性),-4.96,-4.1,-2.74
2013-03-31,2468,1.11,-0.21,-0.08,C. -0.5<ONI<0.5 (中性),-6.08,-4.62,-4.46
2013-04-30,2391,-3.12,-0.19,-0.16,C. -0.5<ONI<0.5 (中性),-2.84,-0.79,-0.46
2013-05-31,2447,2.34,-0.27,-0.22,C. -0.5<ONI<0.5 (中性),-3.51,-2.45,-1.43
2013-06-30,2418,-1.19,-0.34,-0.26,C. -0.5<ONI<0.5 (中性),-3.02,-0.83,-1.57
